order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,4035,2023-12-15,11,8,27.68,221.44,Completed,2023-12-18
2,3412,2024-03-09,26,3,341.74,1025.22,Cancelled,
3,5083,2025-02-15,52,3,206.17,618.51,Completed,2025-02-22
4,4154,2023-07-15,12,10,433.91,4339.10,Completed,2023-07-26
5,7515,2023-12-22,81,1,432.98,432.98,Completed,2023-12-22
6,5312,2023-05-09,469,2,84.06,168.12,Completed,2023-05-12
7,2164,2024-05-14,168,2,116.72,233.44,Completed,2024-05-25
8,1471,2025-05-29,188,6,23.17,139.02,Completed,2025-06-05
9,888,2023-10-01,412,10,361.96,3619.60,Cancelled,
10,858,2024-10-25,140,3,268.71,806.13,Completed,2024-11-07
11,4902,2023-03-14,485,6,385.64,2313.84,Completed,2023-03-15
12,9728,2024-01-17,318,3,189.56,568.68,Completed,2024-01-30
13,1436,2025-03-31,68,6,353.25,2119.50,Completed,2025-04-13
14,584,2023-03-19,482,8,409.14,3273.12,Completed,2023-03-28
15,1494,2025-01-20,433,4,411.72,1646.88,Completed,2025-02-03
16,5657,2025-01-30,463,1,91.87,91.87,Completed,2025-02-02
17,5081,2023-03-12,313,5,227.62,1138.10,Cancelled,
18,7708,2025-05-28,57,6,294.17,1765.02,Completed,2025-06-09
19,5146,2025-07-04,184,8,327.50,2620.00,Cancelled,
20,6428,2024-06-11,222,4,83.20,332.80,Completed,2024-06-21
21,2154,2025-05-10,143,7,220.57,1543.99,Completed,2025-05-22
22,7055,2025-05-22,62,7,161.60,1131.20,Pending,
23,1220,2025-07-02,344,9,420.39,3783.51,Completed,2025-07-13
24,7088,2025-06-13,122,6,375.02,2250.12,Pending,
25,13,2023-11-17,235,7,253.39,1773.73,Cancelled,
26,681,2024-09-13,149,3,180.64,541.92,Pending,
27,9214,2024-01-03,338,7,437.69,3063.83,Completed,2024-01-13
28,6882,2023-03-21,305,8,80.67,645.36,Completed,2023-03-25
29,3111,2024-03-08,352,4,149.18,596.72,Completed,2024-03-08
30,8277,2023-02-15,22,10,184.19,1841.90,Pending,
31,1289,2024-03-03,470,5,346.69,1733.45,Completed,2024-03-14
32,1574,2024-09-06,435,1,346.80,346.80,Completed,2024-09-08
33,7956,2024-07-24,426,9,85.44,768.96,Completed,2024-07-25
34,8814,2025-03-29,305,4,80.67,322.68,Pending,
35,6402,2023-09-06,337,2,401.62,803.24,Completed,2023-09-14
36,8569,2024-04-29,59,7,299.54,2096.78,Cancelled,
37,8777,2025-04-16,376,6,22.23,133.38,Pending,
