product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Sharable Bifurcated Algorithm,Sports,321.52,116.55,563,72
2,User-Centric Even-Keeled Encryption,Clothing,74.07,29.72,1516,149
3,Face-To-Face Client-Driven Support,Sports,297.29,108.78,191,65
4,Customer-Focused Systematic Support,Health,255.15,92.69,407,193
5,Quality-Focused Background Parallelism,Home & Garden,212.66,122.20,569,11
6,Optimized 5Thgeneration Algorithm,Beauty,350.58,182.34,318,65
7,Cross-Group Didactic Emulation,Office Supplies,55.59,30.02,735,98
8,Profit-Focused Real-Time Algorithm,Clothing,135.94,50.53,940,147
9,Realigned Dedicated Structure,Office Supplies,486.69,262.46,1130,85
10,Streamlined Tangible Moratorium,Clothing,443.30,235.31,393,190
11,Operative Directional Knowledge User,Sports,27.68,12.84,592,30
12,Reverse-Engineered Even-Keeled Workforce,Beauty,433.91,234.34,928,172
13,Adaptive Well-Modulated Workforce,Clothing,85.51,45.12,1372,78
14,Diverse Tangible Interface,Home & Garden,306.52,133.51,1493,72
15,Mandatory Even-Keeled Collaboration,Health,233.82,113.40,1895,173
16,Extended Well-Modulated Graphical User Interface,Sports,113.71,58.24,1573,24
17,Customer-Focused Background Implementation,Clothing,411.79,309.88,821,78
18,Cross-Platform Heuristic Hardware,Beauty,109.44,89.90,1794,193
19,Robust Empowering Workforce,Automotive,110.25,66.11,1811,174
20,Balanced Upward-Trending Knowledgebase,Health,75.72,31.79,1525,153
21,Public-Key Bottom-Line Implementation,Toys,135.06,86.75,1838,159
22,Configurable Neutral Frame,Automotive,184.19,156.31,283,140
23,Self-Enabling Regional Hierarchy,Home & Garden,50.00,18.68,224,49
24,Re-Engineered Content-Based Strategy,Toys,397.08,222.79,130,108
25,Cloned 6Thgeneration Protocol,Electronics,299.96,175.19,514,151
26,Focused Zero Administration Frame,Books,341.74,139.18,1812,147
27,Configurable Discrete Attitude,Home & Garden,385.46,200.47,601,121
28,Multi-Tiered Even-Keeled Knowledgebase,Books,229.59,189.85,1793,194
29,Sharable High-Level Complexity,Books,486.08,355.32,1039,37
30,Multi-Layered Heuristic Database,Beauty,421.63,254.59,407,49
31,Synchronized Encompassing Standardization,Electronics,382.44,237.00,1594,145
32,Synergized Secondary Archive,Books,301.48,179.17,229,102
33,Robust Scalable Concept,Clothing,123.53,58.11,1161,30
34,Public-Key Upward-Trending Encryption,Home & Garden,367.29,278.41,1557,146
35,Diverse Maximized Implementation,Books,68.55,40.29,1125,52
36,Future-Proofed Scalable Solution,Health,266.20,173.91,1975,64
37,Realigned Directional Software,Toys,378.86,263.28,1460,89
38,Inverse Zero Administration Time-Frame,Automotive,497.60,335.85,897,142
39,Centralized Discrete Alliance,Office Supplies,64.90,30.01,692,15
40,Intuitive Impactful Flexibility,Electronics,279.19,179.86,14,28
41,Cloned Didactic Open System,Clothing,118.33,94.98,1760,94
42,Universal Foreground Data-Warehouse,Health,259.51,126.96,994,64
43,Streamlined Modular Infrastructure,Automotive,70.49,57.65,1169,157
44,Stand-Alone Logistical Circuit,Clothing,125.28,73.48,833,58
45,Fundamental Client-Driven Encryption,Automotive,52.98,29.96,867,115
46,User-Friendly Next Generation Monitoring,Clothing,432.60,163.13,1338,175
47,Fundamental Value-Added Paradigm,Sports,35.00,25.00,1639,37
48,Optimized Optimal Initiative,Home & Garden,99.84,61.71,287,118
49,Multi-Lateral Directional Challenge,Automotive,142.88,67.85,1890,29
50,Profound Modular Array,Health,404.97,315.06,200,22
51,Versatile Actuating Budgetary Management,Home & Garden,418.83,349.52,1897,70
52,Distributed Responsive Complexity,Electronics,206.17,121.78,1770,112
53,Synergized Interactive Policy,Automotive,86.50,30.37,799,77
54,Cloned Human-Resource Implementation,Automotive,146.20,102.09,1496,152
55,Right-Sized Maximized Moderator,Office Supplies,81.62,40.68,1983,24
56,Function-Based Neutral Access,Electronics,369.19,140.47,642,24
57,Synergized Uniform Budgetary Management,Home & Garden,294.17,176.92,1746,145
58,Synergized National System Engine,Clothing,33.16,20.02,1743,57
59,Future-Proofed Zero Administration Project,Clothing,299.54,205.97,481,113
60,Mandatory Bifurcated Frame,Electronics,471.09,299.07,1185,162
61,Optional Cohesive Knowledgebase,Health,311.59,174.37,1195,154
62,Adaptive Uniform Success,Beauty,161.60,77.63,1371,193
63,Fundamental Motivating Task-Force,Books,123.15,67.47,1375,175
64,Enhanced Motivating Benchmark,Electronics,231.33,188.42,1916,28
65,Self-Enabling Exuding Productivity,Health,231.85,196.89,204,28
66,Profit-Focused Real-Time Customer Loyalty,Clothing,110.51,53.33,1911,99
67,Distributed Holistic Task-Force,Health,440.24,235.42,323,122
68,Diverse Needs-Based Time-Frame,Health,353.25,231.68,1652,177
69,Progressive 24Hour Policy,Clothing,8.87,6.73,613,179
